epoch,accuracy,loss,val_accuracy,val_loss
0,0.3683919310569763,1.3252578973770142,0.455331414937973,1.2638555765151978
1,0.6495986580848694,0.9665482044219971,0.6570605039596558,0.8919568657875061
2,0.79490727186203,0.5686352849006653,0.6916426420211792,0.7867644429206848
3,0.8510932922363281,0.4122520685195923,0.6887608170509338,0.7920631766319275
4,0.8823692202568054,0.33145466446876526,0.680115282535553,0.8562074899673462
5,0.9106006026268005,0.2687883973121643,0.6599423885345459,0.9308061599731445
6,0.9274840950965881,0.22650529444217682,0.680115282535553,0.9518159031867981
7,0.9357874393463135,0.19048188626766205,0.6772334575653076,1.002615213394165
8,0.9482424855232239,0.16511404514312744,0.6916426420211792,1.0605794191360474
9,0.9576529264450073,0.14093340933322906,0.680115282535553,1.1085400581359863
10,0.9626349210739136,0.12883323431015015,0.6829971075057983,1.145551323890686
11,0.9667866230010986,0.11856275051832199,0.6541786789894104,1.2365787029266357
12,0.9690008163452148,0.09950302541255951,0.6657060384750366,1.2515783309936523
13,0.9698311686515808,0.10078329592943192,0.6772334575653076,1.3096721172332764
14,0.9725989699363708,0.09323436766862869,0.6685879230499268,1.3316808938980103
15,0.974259614944458,0.08386500924825668,0.6743515729904175,1.3536609411239624
16,0.975643515586853,0.0765266865491867,0.6772334575653076,1.3625061511993408
17,0.973429262638092,0.0755043476819992,0.6743515729904175,1.4202836751937866
18,0.9748131632804871,0.07950176298618317,0.6772334575653076,1.4328832626342773
19,0.974259614944458,0.07564815878868103,0.6858789920806885,1.4354524612426758
20,0.977027416229248,0.0628567561507225,0.6858789920806885,1.4821974039077759
21,0.9767506122589111,0.06339064985513687,0.6772334575653076,1.5209157466888428
22,0.9761970639228821,0.06426235288381577,0.680115282535553,1.5446423292160034
23,0.9786880612373352,0.05807211250066757,0.6916426420211792,1.5421996116638184
24,0.9775809645652771,0.055311836302280426,0.6858789920806885,1.6107525825500488
